 , , , , , , , , , 
 , ,Year 2000,,,,Year 2020,,,
Country,Type of region,GDP per capita (current US$),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Mortality rate, under-5 (per 1,000 live births)",GDP per capita (current US$),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Mortality rate, under-5 (per 1,000 live births)"
Indonesia,Country,780 ,,,52.20,"3,870 ",94.55,97.45,23.00
"Iran, Islamic Rep.",Country,"1,670 ",,,36.20,"2,422 ",,,12.90
Iraq,Country,"2,058 ",64.17,84.09,44.50,"4,146 ",,,25.20
Ireland,Country,"26,335 ",,,7.10,"85,423 ",,,3.00
Isle of Man,Country,"20,323 ",,,,,,,
Israel,Country,"21,061 ",,,6.90,"44,178 ",,,3.60
Italy,Country,"20,138 ",,,5.60,"31,770 ",,,2.90
Jamaica,Country,"3,392 ",,,22.20,"4,665 ",,,13.30
Japan,Country,"39,169 ",,,4.50,"40,193 ",,,2.50
Jordan,Country,"1,652 ",,,26.80,"4,283 ",,,15.00
Kazakhstan,Country,"1,229 ",,,42.50,"9,122 ",,,10.00
Kenya,Country,397 ,77.89,87.49,98.50,"1,879 ",,,41.90
Kiribati,Country,797 ,,,68.10,"1,654 ",,,49.60
"Korea, Dem. People's Rep.",Country,,,,60.00,,,,16.50
"Korea, Rep.",Country,"12,257 ",,,7.50,"31,598 ",,,3.00
Kosovo,Country,,,,,"4,311 ",,,
Kuwait,Country,"18,440 ",,,12.40,"24,812 ",95.35,97.05,8.90
Kyrgyz Republic,Country,280 ,,,49.80,"1,176 ",,,17.50
Lao PDR,Country,325 ,58.46,81.36,107.20,"2,630 ",,,44.10
Latvia,Country,"3,362 ",99.71,99.79,14.20,"17,737 ",,,4.00
Lebanon,Country,"4,492 ",,,19.90,"4,650 ",,,7.00
Lesotho,Country,436 ,92.05,80.00,106.90,875 ,,,89.50
Liberia,Country,307 ,,,189.70,633 ,,,78.30
Libya,Country,"7,143 ",,,28.10,"3,699 ",,,11.10
Lithuania,Country,"3,293 ",,,10.70,"20,232 ",,,3.30
"Macao SAR, China",Country,"15,836 ",,,,"39,403 ",,,
Madagascar,Country,294 ,65.28,76.54,105.40,471 ,,,50.20
Malawi,Country,156 ,,,174.60,637 ,,,38.60
Malaysia,Country,"4,044 ",85.35,91.97,10.20,"10,412 ",,,8.60
Maldives,Country,"2,235 ",,,39.00,"6,924 ",,,6.50
Mali,Country,271 ,,,187.40,862 ,22.08,40.43,91.00
Malta,Country,"10,432 ",,,7.80,"28,423 ",,,6.50
Marshall Islands,Country,"2,273 ",,,42.00,"4,130 ",,,30.70
Mauritania,Country,677 ,43.42,59.54,112.50,"1,702 ",,,70.70
Mauritius,Country,"3,929 ",80.50,88.23,18.80,"8,628 ",,,16.50
Mexico,Country,"7,158 ",88.68,92.56,28.40,"8,329 ",94.50,96.06,13.70
"Micronesia, Fed. Sts.",Country,"2,172 ",,,37.80,"3,565 ",,,24.70
